,log2FC_rna,pvalue_rna,adjustedpvalue_rna,-log(adjustedp)_rna,category_rna,log2FC_prot,pvalue_prot,adjustedpvalue_prot,-log(adjustedp)_prot,category_prot
AIFM1,0.4200311410027524,2.286940510396339e-05,5.51955886481378e-05,4.258095630646308,Not Significant,-0.8273707869352487,3.0236034048439854e-11,1.2208179922816538e-10,9.913349078757594,Not Significant
BAX,1.7102341918159496,3.206451470626163e-17,2.158103661351739e-15,14.665927698452084,Up,0.6954278897741732,2.33553835356393e-05,4.4225247811982805e-05,4.354329724883471,Not Significant
BID,0.4413446288971308,0.0015350238333231,0.0026483696004277,2.577021405854256,Not Significant,0.4687959173962395,6.096934560694889e-06,1.242666768010047e-05,4.905645315619637,Not Significant
BIRC2,0.3722531967317586,1.4247802897385278e-05,3.5847244352712114e-05,4.445544223773273,Not Significant,-0.2081152716556353,8.043186115013475e-05,0.0001430403626707,3.844541397417741,Not Significant
CAMK2A,-5.198609490484706,6.0148701656045624e-18,6.311854380031285e-16,15.199843029234374,Down,-4.158674471878575,1.5495804274104642e-15,1.349755871875776e-14,13.86974477453077,Down
CAMK2B,-3.0988458956693314,1.4042261961319393e-15,4.861228419186652e-14,13.31325397183604,Down,-2.9750824828285025,9.117770393384492e-16,8.481400538403859e-15,14.071532426531292,Down
CAMK2G,-2.148725855904324,1.9770068942102725e-15,6.466353068920222e-14,13.189340586192516,Down,-2.725139023654884,1.435433270426631e-17,2.367896182546878e-16,15.625637342631295,Down
CAPN2,1.2216725628427874,1.0367201183912904e-05,2.684121941062416e-05,4.571197757829594,Up,0.5993247709720084,5.240063598894462e-07,1.2268066127056332e-06,5.911223891758816,Not Significant
CASP1,2.2939564173204694,1.791034237416511e-07,6.68998105588948e-07,6.174575112028038,Up,1.341087181342664,7.043095892347796e-11,2.6992483484332927e-10,9.568757155683471,Up
CASP8,2.437777783923885,1.0428793382576039e-10,8.29200193654862e-10,9.081340605151226,Up,0.783247058481631,0.0004337215361948,0.0007058485725848,3.151288459209633,Not Significant
CFLAR,1.0052225138850197,0.0009813729408227,0.0017532099673432,2.7561660689615697,Up,0.354317800431385,0.0182276418364784,0.0241603876067623,1.6168961025787327,Not Significant
CHMP1A,0.3377483324442956,4.025502769654299e-06,1.124283751081159e-05,4.949124066011933,Not Significant,-0.0927367192358722,0.2185709955849943,0.2493266293747074,0.6032313341200951,Not Significant
CHMP1B,-0.3347331537399931,0.0248841465820609,0.0347736014242865,1.4587503280772312,Not Significant,-0.3438789319658403,1.218994711510564e-07,3.077495986445176e-07,6.511802504786849,Not Significant
CHMP2A,0.7282791614411472,3.985253169254846e-06,1.1142781134352852e-05,4.9530063997764175,Not Significant,-0.0090095396659742,0.939205565021672,0.9459304040939124,0.0241408152153758,Not Significant
CHMP3,-0.825386637841941,0.0009606681645609,0.0017186594014893,2.764810181899283,Not Significant,-0.5266993844031294,3.591136060179018e-11,1.4349380134511863e-10,9.843166859207026,Not Significant
CHMP4A,-0.7288362869001634,4.418694073071992e-06,1.224929116459198e-05,4.91188904209236,Not Significant,0.681845511515777,1.83334188554892e-06,4.0048805218633175e-06,5.397410435751894,Not Significant
CHMP4B,-0.5390902049956523,0.0001098030745782,0.0002313166401718,3.635793124363617,Not Significant,0.0041332911083999,0.965143861878138,0.9689604994492224,0.0136939269955679,Not Significant
CHMP6,0.6680943416257641,1.4774006101310376e-05,3.7078559408221405e-05,4.430877147591559,Not Significant,-0.8469337965984157,5.322437881120809e-07,1.2449720427996965e-06,5.904840401013344,Not Significant
CYBB,2.899141799944992,2.691374149415583e-08,1.2218523290316622e-07,6.912981279005096,Up,1.11158339478102,1.6550509569668852e-09,5.278010236234165e-09,8.277529771839406,Up
CYLD,-0.7009283554652086,1.952125690923457e-05,4.77554983253106e-05,4.320976618742603,Not Significant,-1.5421751962227828,8.990954148830112e-21,7.608686319932734e-19,18.11869032000385,Down
DNM1L,-0.8347566923586456,0.0012998808898519,0.0022710718148401,2.643769132492864,Not Significant,-1.886466271390581,2.058717777060951e-18,4.85018079827652e-17,16.31424207207189,Down
FADD,1.2174456551004835,2.1688678924262015e-10,1.5971619260454352e-09,8.796651051286027,Up,0.0416778555690178,0.740510542142713,0.7655153672821033,0.1160460866654833,Not Significant
FAS,0.9310331756563812,0.0007098382420758,0.0012994567418993,2.886238173313491,Not Significant,0.2640335937721144,0.2531448494335651,0.2860693451041124,0.5435286782500293,Not Significant
FTL,1.3285688954757582,2.463764458631528e-06,7.194192219204062e-06,5.143017962594183,Up,-0.8543290530565288,0.0034901484416732,0.0050859519990727,2.293627742987715,Not Significant
GLUD1,-0.9860589057700756,5.613472156727015e-07,1.883120829399532e-06,5.725121812825661,Not Significant,-1.7452580844433228,2.0052659253487186e-15,1.6968682830475962e-14,13.770351867856592,Down
GLUD2,-1.8887448878097413,2.2147904368130335e-07,8.094803537638242e-07,6.091793687189175,Down,-1.4993076532983962,2.237173681500324e-11,9.175232801708776e-11,10.037382907651914,Down
GLUL,-0.5969705395776153,0.0080114905015165,0.012211795326415,1.913220483226424,Not Significant,-1.7720380911579872,1.3877532026183128e-10,5.082731557372985e-10,9.293902826797437,Down
HMGB1,0.3882126582543321,0.0062266890206795,0.0096712403938214,2.014517821506959,Not Significant,1.0916881595968748,2.552312198410069e-11,1.0385855228010323e-10,9.983557735478152,Up
