,log2FC_rna,pvalue_rna,adjustedpvalue_rna,-log(adjustedp)_rna,category_rna,log2FC_prot,pvalue_prot,adjustedpvalue_prot,-log(adjustedp)_prot,category_prot
A1BG,-0.3545929448515039,0.2192390735916479,0.2493355641637233,0.6032157711613738,Not Significant,1.7516628324529373,1.7403324272818262e-19,1.6498288010543289e-18,17.782561119189054,Up
A2M,2.550069845588545,6.558377333114991e-07,1.975159738529161e-06,5.704397775603882,Up,1.446368433757403,2.6317141299059844e-14,1.4807303988211566e-13,12.82952400762516,Up
AAAS,1.088259015189628,2.541068804729138e-06,6.7082618288368286e-06,5.173389994873362,Up,0.6032504798239161,5.753307250394855e-08,1.5020359962217218e-07,6.8233196593603855,Not Significant
AACS,-1.783757968381563,6.178405491244116e-11,4.2226090175572065e-10,9.37441912917854,Down,-0.7470636367105177,8.155612536846698e-09,2.3765893307961163e-08,7.624045856882506,Not Significant
AADAT,-0.3433284780056596,0.0029722991865481,0.0044471917429505,2.3519141453182857,Not Significant,-1.1812365227786317,7.377721544980464e-08,1.893360541462072e-07,6.722766678028747,Down
AAED1,1.3694608723988928,3.9369780795828165e-14,4.456305300417673e-13,12.35102506340328,Up,0.870320082212302,0.0045398798123514,0.0062137552882006,2.2066458542475686,Not Significant
AAGAB,-0.5358238080351434,0.004595506698706,0.0066900483356596,2.174570744439285,Not Significant,-0.1612848672599185,0.0679569332523871,0.0810453389349333,1.0912719571639795,Not Significant
AAK1,-1.6911030215199965,7.02357711469513e-13,6.6624779523012e-12,11.176364215145076,Down,-1.8636892813436592,5.072415426976682e-48,1.5848243260552928e-45,44.80001887127157,Down
AAMDC,1.020881059806662,1.335285751228823e-07,4.659393369545951e-07,6.331670622668018,Up,0.5477948031012764,0.0001178595956745,0.0001966330366849,3.706343513743889,Not Significant
AAMP,0.2318391513955866,0.0399626686466522,0.0507928241163732,1.2941976394246124,Not Significant,-0.3602800785006094,6.516407174847656e-05,0.0001125984101643,3.948467741471665,Not Significant
AAR2,1.163168816650316,1.5707745772243658e-17,2.5481454252750823e-16,15.593775789997506,Up,0.7993566673757001,1.5865618272603338e-07,3.886684410438412e-07,6.410420721619677,Not Significant
AARS,-0.5821461774816292,0.0002686764044453,0.0004789359567532,3.319722556498196,Not Significant,-0.4404995766218751,1.2018060913994257e-13,6.279919480610754e-13,12.202045924630736,Not Significant
AARS2,0.1621726401915459,0.0573103712142221,0.0711980120374983,1.1475321323912029,Not Significant,-0.3515838412613937,0.0003768334355512,0.0005900348922575,3.2291223051937146,Not Significant
AARSD1,0.0799414311221493,0.5301569648734273,0.5649847946826306,0.2479632400996566,Not Significant,-0.5455920404160333,7.548403238493919e-09,2.2064400255401067e-08,7.656307872853533,Not Significant
AASDHPPT,-1.084540185630022,0.0006747777360801,0.0011187805979708,2.951255073822904,Down,-0.7622734951635248,1.9437515787102528e-19,1.835980960326227e-18,17.73613182687559,Not Significant
AASS,1.6052870181385686,5.566610631669248e-07,1.7050178018679234e-06,5.768271082235914,Up,1.1515029812420312,2.7980959226597833e-10,9.79004385175317e-10,9.00921536289229,Up
AATF,0.874489559214183,1.1879062461918565e-12,1.0908812692923207e-11,10.962222515128593,Not Significant,0.6689522832521698,4.243488591409857e-06,8.632103331636741e-06,5.063883369519418,Not Significant
AATK,-2.8540068274758,8.444331808849633e-17,1.2850181063799274e-15,14.891090752919856,Down,-2.208754090781825,1.5135827444317268e-20,1.5818155408423542e-19,18.800844161966666,Down
ABAT,-0.9666832705631414,6.805932916626754e-08,2.521420608233261e-07,6.598354701884789,Not Significant,-1.6648968071790209,2.0379254122686536e-19,1.9197072955931595e-18,17.71676498462949,Down
ABCA1,3.6783973478975263,8.634872688845561e-10,4.761231935819932e-09,8.322280662047165,Up,1.176504002689187,1.36806311772308e-12,6.334594747499796e-12,11.198281163662026,Up
ABCA2,-1.5213209992534615,8.481224666133683e-07,2.4829949807216134e-06,5.605024158354058,Down,-0.9477022506296866,1.0751251223301127e-10,3.9698394460213347e-10,9.4012270572462,Not Significant
ABCA3,-1.1635430966668956,1.9984940901031154e-16,2.9093684196096508e-15,14.536201279621856,Down,-0.6878653362792828,6.156250013536794e-07,1.3970003573338672e-06,5.854803482799127,Not Significant
ABCA5,-2.0392033343403995,5.954534344856767e-13,5.74578342816926e-12,11.240650747596352,Down,-1.9286665978413424,1.1205058619270808e-15,7.372531932237032e-15,14.132383337736584,Down
ABCA8,0.5240248933621618,0.1151670643159589,0.1371062403591315,0.8629427779467459,Not Significant,-0.4516512489429742,0.0019273056838211,0.0027636485552961,2.5585171856827653,Not Significant
ABCB1,-0.8390215158877155,0.003184518650481,0.0047428800835225,2.3239578556818463,Not Significant,-0.3811732948563274,0.0013585042175424,0.0019846554947928,2.702314869099989,Not Significant
ABCB10,-0.0938608243897434,0.0474026855498675,0.0595281294227581,1.2252777642504953,Not Significant,-0.6101035028462177,1.2218114550655466e-07,3.03818333391717e-07,6.517386022933327,Not Significant
ABCB6,0.254850278143266,0.2660649256722507,0.2989780324843562,0.5243607204424856,Not Significant,0.1701317470202028,0.0041857301080861,0.0057471659009455,2.240546266094896,Not Significant
ABCB7,0.9013625468915514,3.802381685456668e-07,1.207223230358981e-06,5.918212416108834,Not Significant,-0.0295105037769118,0.6854272724643762,0.7098410585097693,0.1488388838718929,Not Significant
ABCB8,0.1532777741051987,0.2454009179275201,0.2769937083699538,0.5575300953804723,Not Significant,-1.0163079884231565,1.5751328095083127e-09,5.0123990871819095e-09,8.299954357777489,Down
ABCB9,-1.2951560758516187,4.48229053317188e-08,1.7274137272828433e-07,6.762603633505496,Down,-1.354921019167273,9.02502261118896e-10,2.9625184597876334e-09,8.528338934835366,Down
ABCC1,0.7984415236117854,2.508782056026751e-06,6.628237721587593e-06,5.178601924012156,Not Significant,0.1460865283352681,0.1105320692594701,0.1285650138475612,0.8908771990646482,Not Significant
ABCC3,5.287390814810561,1.8048139355262733e-08,7.559956584819824e-08,7.121480698550027,Up,0.6364058607058853,3.2931507686854884e-05,5.934627138373831e-05,4.226606561769809,Not Significant
ABCC4,1.2956527666897075,8.580723001723993e-12,6.763865690091354e-11,10.169805024763136,Up,0.3993133256885254,0.0001545498354098,0.0002541806346628,3.594857540247127,Not Significant
ABCD1,2.120497980845485,6.939287388581507e-08,2.562550628759901e-07,6.591327545419569,Up,0.8572578957570672,8.95648471233891e-08,2.2721922829816166e-07,6.643554919481971,Not Significant
ABCD2,-1.5572392853647798,9.398067788182138e-09,4.220960093541991e-08,7.374588753800682,Down,-0.8978240378350995,5.408222930963325e-06,1.0852938594254338e-05,4.964452654213931,Not Significant
ABCD3,0.657316447792553,1.0853035402408378e-19,2.2267510925430146e-18,17.652328325928035,Not Significant,0.840525200468065,9.194023824513964e-14,4.857898172049028e-13,12.31355159282045,Not Significant
ABCD4,0.6700654692631005,0.0256453039614172,0.0335128800242984,1.4747882482341277,Not Significant,0.9639660788730842,4.4379875453442325e-10,1.512606822511071e-09,8.820273945079519,Not Significant
ABCE1,0.3677356441352124,0.0314535584270941,0.0405455083294364,1.3920572503501598,Not Significant,0.5275957975668428,1.1542396682909201e-10,4.242401379675208e-10,9.372388244652168,Not Significant
ABCF1,0.8266613124030471,2.5332651363018427e-09,1.2760056491552384e-08,7.894147402894232,Not Significant,0.7381155712003294,6.088593211055895e-14,3.273562331295497e-13,12.484979385342273,Not Significant
ABCF2,0.4389135807655506,0.0003433973770784,0.0006006919910901,3.221348158378157,Not Significant,0.4281771030135006,7.149738958450555e-05,0.0001227674576352,3.910916737774596,Not Significant
ABCF3,-0.0938896460570681,0.1635564549066412,0.1896050318445919,0.7221501412946698,Not Significant,0.4463130921407908,2.6847842870085898e-08,7.327194452929317e-08,7.13506228277332,Not Significant
ABCG1,-0.0765957055856567,0.6144601649716634,0.6462801943959634,0.1895791530612987,Not Significant,-0.5179514902577443,0.0001218875297239,0.000202931429446,3.6926506854558823,Not Significant
ABCG2,-0.3859984454326266,0.177494983232537,0.2046799978347732,0.6889245962941457,Not Significant,0.2450192374201863,0.2219885649841857,0.2488079006051889,0.6041358332466532,Not Significant
ABHD10,-0.6607392786524819,0.0006744593149872,0.0011186208658514,2.951317083953226,Not Significant,-1.649019786538683,5.98387760514179e-19,5.388078026982776e-18,17.26856612370579,Down
ABHD11,0.6499196750511373,6.877834013934349e-06,1.6548911319961902e-05,4.781230571271026,Not Significant,-0.533011213643237,0.0001063849027776,0.0001783189135285,3.748802590613454,Not Significant
ABHD12,-0.1434563350005397,0.2033018106910628,0.2322813371885906,0.6339856825011442,Not Significant,-0.5456807230776904,8.140044168137794e-07,1.8194056204884324e-06,5.740070468005294,Not Significant
ABHD13,-0.8524464641497147,7.42152418742224e-12,5.910231989256257e-11,10.228395471796162,Not Significant,-0.2519425717328861,1.885693183722044e-05,3.518225551059824e-05,4.45367632166063,Not Significant
ABHD14A-ACY1,0.3470141602166112,0.1688944956078776,0.1955681780176734,0.708701810262324,Not Significant,-0.0662674156513169,0.3500865274120551,0.3809977492903538,0.4190775898720627,Not Significant
ABHD14B,1.1832338821571184,1.3770400560046609e-05,3.106898437668747e-05,4.507672943295059,Up,0.474766142636689,0.0029426078678369,0.004125199366507,2.384555057615489,Not Significant
ABHD16A,0.7154835706770797,5.321250193323833e-05,0.0001074489365555,3.968797878454148,Not Significant,-0.760246571282284,1.2879169062961307e-14,7.480986092431043e-14,13.126041152633478,Not Significant
ABHD17A,0.3456175323489532,0.014451854692553,0.0195893412503739,1.7079801681981086,Not Significant,-0.9528550600874978,1.8378529169152367e-05,3.434508260712872e-05,4.464135434716955,Not Significant
ABHD17B,-0.8384734740860509,0.0001160223144318,0.0002208216126179,3.655958422875067,Not Significant,-1.6644029110169885,3.680835154919529e-23,4.924654643644907e-22,21.30762422031729,Down
ABHD17C,0.3105117946093543,0.0419108474525292,0.0531014812271135,1.2748933644215492,Not Significant,-0.5520038715922433,1.8698830225426632e-08,5.2069589035972656e-08,7.28341585001998,Not Significant
ABHD2,0.3484912266582078,1.485277287873918e-05,3.3287393544030814e-05,4.47772020946217,Not Significant,-0.2077522830635243,0.2791381804110834,0.3084447261039243,0.5108226510758453,Not Significant
ABHD3,0.981903252877972,6.220219107546132e-05,0.0001240595669954,3.906369738984364,Not Significant,0.2058714843995173,0.1024681576391866,0.1195998040890663,0.9222695317448248,Not Significant
ABHD4,1.7867251543482077,4.048003069669022e-06,1.021021104753273e-05,4.990965280848291,Up,0.6767115075539025,1.398266393087704e-06,3.0202438027910167e-06,5.519957998124592,Not Significant
ABHD5,1.0848729460651398,3.1772736717234146e-08,1.2651326074680505e-07,6.897863950635764,Up,-0.0171008658852471,0.8740089779590365,0.885752064217273,0.0526878268840016,Not Significant
ABHD6,-0.6515968832875707,4.227184116796938e-05,8.699622633832963e-05,4.060499585496147,Not Significant,-0.8488379982532344,6.535673027609623e-13,3.13790685167844e-12,11.503359952528076,Not Significant
ABI1,-0.4697105343710959,3.4664430517598864e-05,7.269139738432367e-05,4.138516982395168,Not Significant,-0.9131405967521954,2.6385653636993255e-19,2.454408120710124e-18,17.61005322081221,Not Significant
ABI2,-0.8256847956984856,3.0840995906487165e-06,7.976693010576423e-06,5.098177121798359,Not Significant,-1.1472005187893832,2.803758211412592e-10,9.8065588785597e-10,9.00848335981938,Down
ABI3,2.3708148719457167,4.510147303586632e-06,1.1268656730241004e-05,4.948127850538896,Up,0.829138469449394,2.8513340364556454e-09,8.739557121751123e-09,8.05851057474008,Not Significant
ABI3BP,1.3650464487273857,0.0001274342014454,0.0002409030109516,3.618157771892459,Up,-0.2251959635024274,0.4541989292804769,0.4850473637919857,0.3142158514406857,Not Significant
ABL1,1.1909464710457804,3.4343913468840524e-06,8.788002169320055e-06,5.056109844545836,Up,0.3408026642729888,3.328463745056028e-06,6.856516746940074e-06,5.163896458895886,Not Significant
ABL2,0.1151568818449106,0.1700675966201072,0.1968812880201057,0.7057955580913433,Not Significant,-1.1944117087653274,9.897749089114831e-29,2.2203808247542307e-27,26.65357253189836,Down
ABLIM1,-0.8535503786564931,1.1092969308186324e-06,3.163946002567073e-06,5.499770936990817,Not Significant,-0.8713252049534941,7.705247929639865e-09,2.24912859505388e-08,7.647985712849962,Not Significant
ABLIM2,-3.543780055627609,3.663782586175804e-38,4.055928106937917e-36,35.39190975166211,Down,-3.016502011835526,1.0656411753118311e-30,2.9113540666196455e-29,28.53590497428349,Down
ABLIM3,-1.0922649107257207,9.833151994426337e-16,1.3296533314342403e-14,13.876261573972796,Down,-1.5122419968259726,3.840054451368977e-22,4.735915495770104e-21,20.324596055450712,Down
ABR,-1.7287273601118829,5.276381624864386e-17,8.202819211247503e-16,15.086036860120714,Down,-1.686700159083251,3.755881838778924e-33,1.329761022443871e-31,30.87622640110762,Down
ABRACL,-0.358232092405828,0.1036768973138381,0.1241018373977668,0.9062217884786758,Not Significant,-0.9089979325879408,4.438339306417078e-08,1.1785375979718207e-07,6.928656557958299,Not Significant
ABT1,0.700779434161241,0.0001198698587518,0.0002274569517924,3.643100785240013,Not Significant,0.355848721110955,0.1717404875174292,0.195499424165455,0.708854517460614,Not Significant
ACAA1,0.7537463787925098,2.2399144029383597e-05,4.858793066290422e-05,4.313471596940683,Not Significant,0.0781616218629349,0.1655605714239919,0.1887122194428747,0.7241999776050988,Not Significant
ACAA2,0.4522301272076454,0.0061174273315436,0.0087488590201548,2.0580485816703677,Not Significant,-0.8035332385429135,2.4084438158621862e-11,9.653250550369463e-11,10.015326421539015,Not Significant
ACACA,-0.5318608153201048,0.0002363295441926,0.000425367844952,3.371235343036271,Not Significant,-0.6094105056387386,2.895550032028477e-09,8.864641259818947e-09,8.052338835024543,Not Significant
ACAD10,0.905215089691156,4.303938948555403e-05,8.844936957924752e-05,4.053305258166692,Not Significant,0.0356837234719886,0.5473648895726734,0.577022598294709,0.2388071779664384,Not Significant
ACAD11,0.782898081943177,0.0058005755613779,0.0083240738184219,2.07966407709194,Not Significant,0.3984322036039006,2.5046389863436924e-05,4.596401129910348e-05,4.337582077262964,Not Significant
ACAD8,0.3658449922851474,0.0009055773502434,0.0014673936346071,2.8334533691790567,Not Significant,-0.7875162564435205,6.218642063098141e-21,6.7216869402688e-20,19.172521718477647,Not Significant
ACAD9,0.4921281627338771,6.211982935839902e-12,5.014384302536152e-11,10.299782384762516,Not Significant,-0.8771165360109986,2.1588003862675103e-09,6.7399379786018355e-09,8.171344099855617,Not Significant
ACADL,-1.696569321278293,4.948460427362592e-09,2.3558974643313213e-08,7.627843615261908,Down,-0.5731717309899846,0.0072510777680013,0.0096876483746792,2.013781632840628,Not Significant
ACADM,-0.2963968299185886,0.0001127388588484,0.0002152229039301,3.6671115131117697,Not Significant,-0.3883894657603159,0.0060730824680993,0.0081926795503428,2.0865740318658,Not Significant
ACADS,0.4919393897594162,0.0006417716181037,0.0010700442371362,2.970598267597923,Not Significant,-0.9563520824752584,0.000221114657284,0.000356171845817,3.4483404130298667,Not Significant
ACADSB,-1.6241754088766314,3.438155234992876e-09,1.6854489458549022e-08,7.77328439821231,Down,-1.3773281839133535,8.21760249249743e-16,5.472618320179511e-15,14.261804840039508,Down
ACADVL,0.6745476149436342,0.0028373667601065,0.0042611259304283,2.370475630765052,Not Significant,-0.2310265846769107,0.0229931626489027,0.0289963448040258,1.5376567445662572,Not Significant
ACAN,0.4440143326829915,0.0446181529784305,0.0562980051483854,1.249506993574894,Not Significant,-1.9540514387413184,1.5335368065796597e-12,7.056845543628505e-12,11.151389388061675,Down
ACAP2,0.1428193897695635,0.0607815272531516,0.0752504738292061,1.1234907611060565,Not Significant,0.0267063453102146,0.5900611207345084,0.6188982472516625,0.208380747247417,Not Significant
ACAP3,-0.4097011685672242,0.0416539768261471,0.0528158794898182,1.2772354839439108,Not Significant,-1.133124030203196,5.450074830372156e-11,2.0810648902914075e-10,9.681714377714314,Down
ACAT1,-0.0834790997710968,0.3040094169476108,0.3381582542442228,0.4708800072362229,Not Significant,-1.3367279848783182,9.730049860204037e-34,3.709893369775231e-32,31.43063857275253,Down
ACAT2,-0.2727584316039682,0.2367140343954656,0.2678788117838598,0.5720616361090753,Not Significant,-0.9704364364958644,2.6847807371697288e-17,2.0964653183195583e-16,15.678512317704495,Not Significant
ACBD3,0.4543502280367804,0.0006184311700132,0.0010338658491061,2.9855358101517773,Not Significant,0.3614054537114847,2.1090017349832816e-05,3.910331147032593e-05,4.407786462747542,Not Significant
ACBD4,-0.442627042336138,0.0190496218920964,0.0253776634410182,1.595548366535481,Not Significant,0.3702564742430101,0.0049092655315432,0.0066911804265855,2.174497259283023,Not Significant
ACBD5,-0.6432389843399164,1.4116050904054456e-16,2.094331322642777e-15,14.6789546119537,Not Significant,-0.0677907401940728,0.3587756031376832,0.3897406859799775,0.4092242547814138,Not Significant
ACBD7,-3.509368273603957,4.121883997873823e-12,3.434562398228362e-11,10.464128589067691,Down,-3.096857730639617,4.703813425010743e-24,6.876684542266407e-23,22.16262089781812,Down
ACD,0.1559213603446743,0.0330875268888863,0.0425537783580544,1.3710618727779182,Not Significant,0.2600765638669932,0.01961121656679,0.0249216400004538,1.6034233817676071,Not Significant
ACE,0.765856652418897,0.0016665377264488,0.0025852634826371,2.587495188266736,Not Significant,-0.3004260566259813,0.037946114609734,0.046710159291949,1.330588651669688,Not Significant
ACHE,-0.9291461714960842,5.528688703670959e-06,1.3561239347645786e-05,4.867700618931471,Not Significant,-0.2151168793605185,0.1167810343385356,0.1355456942941367,0.867914273539024,Not Significant
ACIN1,0.6887585177589344,0.00025562174091,0.0004569079875671,3.3401712496352425,Not Significant,0.5810558790629039,8.987472231037087e-18,7.31435484385184e-17,16.135823974406968,Not Significant
ACLY,0.999604665713008,2.2001223865893545e-06,5.902538727696713e-06,5.228961154749904,Not Significant,-0.4623283876952534,7.740153859626005e-10,2.5642031039098376e-09,8.591047578445778,Not Significant
ACO1,0.3814506906018486,0.0087294698998513,0.012208896261433,1.9133235964348057,Not Significant,0.218167457145634,0.0058986766999845,0.0079739384117064,2.0983271230201685,Not Significant
ACO2,-1.0058587697846768,7.09581146849091e-18,1.1973736136277623e-16,15.921770316577945,Down,-2.2141157219314107,7.262068484154125e-32,2.2038154767218746e-30,29.65682477134307,Down
ACOT1,-0.4895443397344046,0.0045759343751624,0.006669265465189,2.1759219954660085,Not Significant,-0.7152294649319886,7.98748308304224e-08,2.0407882035195555e-07,6.690202064767322,Not Significant
ACOT11,-0.7940258768689805,0.0079172339813085,0.0111394155206288,1.9531375957713468,Not Significant,-0.2732656977358336,0.0463464524333315,0.0564961029837858,1.2479815081276011,Not Significant
ACOT13,-0.3831547740296486,0.000628891127284,0.0010496105394731,2.9789718170575465,Not Significant,-1.588747886568506,7.381226216516745e-20,7.241393373018171e-19,18.14017785977109,Down
ACOT7,-1.790224006074581,1.1828623159661412e-14,1.4169030881144953e-13,12.848659853165689,Down,-2.3905506429324475,1.0075573001243949e-36,5.50372723787847e-35,34.25934309766855,Down
ACOT8,-0.0171502867765269,0.795608490519953,0.8161702521290188,0.0882192384915096,Not Significant,-0.4487173064837387,3.5766455292684064e-05,6.419952287317614e-05,4.19246819956848,Not Significant
ACOT9,0.5364695448076624,2.6187524303037656e-10,1.5863687301792024e-09,8.799595859345155,Not Significant,-1.1824020273574931,4.38092890130998e-15,2.691917882747083e-14,13.569938192447228,Down
ACOX1,0.154103218443641,0.0173236890869367,0.023225824309529,1.634028863481706,Not Significant,0.3341737001481018,2.6212425428727245e-08,7.16693292060998e-08,7.1446666603198095,Not Significant
ACOX2,1.6931247030741383,5.041695307319994e-05,0.0001022755507973,3.990228172962944,Up,0.1301050795736528,0.1441212245731865,0.1654890045871262,0.7812308563038044,Not Significant
ACOX3,0.040396510528474,0.5228641706082175,0.5579211582149332,0.2534271683946971,Not Significant,-0.3997705198116445,1.8082800793915524e-08,5.0435121506931064e-08,7.297266928543951,Not Significant
ACP1,-0.0313004671442911,0.8417582293182184,0.8589822125356293,0.0660158292742359,Not Significant,-0.7308834038451244,2.0814746248504107e-09,6.510237190525218e-09,8.186403188288994,Not Significant
ACP2,0.7660991237334649,1.049665075172387e-05,2.4250654078499475e-05,4.615276543294616,Not Significant,0.279194111716219,0.0008774610193684,0.0013117179018536,2.882159554321098,Not Significant
ACP5,5.407077271778308,0.0023158111438503,0.0035256885995388,2.4527560486657864,Up,0.7176955246048877,0.0123870353502465,0.0161514031016806,1.7917897437447292,Not Significant
ACP6,0.9552133840609685,0.0083002680910372,0.0116393236009339,1.9340722572219853,Not Significant,0.5044423903040087,0.0024239256074372,0.0034327403602468,2.464359043756412,Not Significant
ACPP,2.333148879829752,2.12158148582563e-06,5.70550237271954e-06,5.243706109686724,Up,0.6933934529697889,0.0002536332986252,0.0004056651821434,3.3918322657781927,Not Significant
ACSBG1,-0.7698579253370994,0.0122602322614846,0.0167834732711233,1.775118158740256,Not Significant,-0.8523956148551503,1.8098357534692232e-10,6.478191319759677e-10,9.188546230162062,Not Significant
ACSF2,1.04367140448805,0.0002056501991023,0.0003735521286977,3.427648784408009,Up,-0.4828553838018146,8.135991617396393e-06,1.5939683181908348e-05,4.797520314917094,Not Significant
ACSF3,0.3350042395791988,0.0195604770127669,0.0260134977460877,1.5848012491230274,Not Significant,-1.2725314797170564,8.407602332252325e-12,3.558956188548778e-11,10.448677358213804,Down
ACSL1,0.8657483546924887,0.0003836548200592,0.0006662538626575,3.1763602601027188,Not Significant,-0.1411842798083247,0.0716301139811221,0.0851917112008112,1.0696026582246776,Not Significant
ACSL3,-0.7450070841269394,0.0004302208517626,0.0007399769268664,3.1307818217431023,Not Significant,-0.2539416412858002,0.0013854984255838,0.0020215381429636,2.694318059859691,Not Significant
ACSL4,-0.8505858383209137,0.0008009223046463,0.0013089700352055,2.8830702951557674,Not Significant,-0.5745950522042902,6.610192455419775e-09,1.9438198523454124e-08,7.711343986713036,Not Significant
ACSL5,-0.1327721449685626,0.7037287926616356,0.7316164971386292,0.1357165102274739,Not Significant,0.4867721592328132,0.0191843282872727,0.024429859694424,1.6120790272595724,Not Significant
ACSL6,-3.050881903573064,1.0641881941300204e-27,4.22072120774245e-26,25.37461333345037,Down,-2.333010280604297,2.648341184042106e-19,2.461302087919132e-18,17.608835079891314,Down
ACSM5,1.3168548035922072,0.0001808166909808,0.0003317497979026,3.479189333029584,Up,-0.0407787094678581,0.6595730296942415,0.6853432931016458,0.1640918329552925,Not Significant
ACSS1,-0.2973586196881221,0.3103930237050733,0.3448659226651493,0.4623497175771092,Not Significant,-1.5402748225644218,7.659736831768258e-15,4.563835184995752e-14,13.340670047763757,Down
ACSS2,0.1479672590040763,0.2392837096963043,0.2704829546095792,0.5678600982182263,Not Significant,-0.2027481236608495,0.0060715045054306,0.008191612494754,2.0866306002367114,Not Significant
ACSS3,1.1621249836517649,0.0005179382912808,0.0008770735159461,3.056964002721052,Up,-0.1583233282126523,0.2555374960401441,0.2841762602865235,0.5464122052867892,Not Significant
ACTA1,-0.8746052706684644,2.653307177663032e-05,5.6822739174696826e-05,4.245477834678862,Not Significant,0.6349437332755076,0.0228437717913195,0.0288114407580086,1.5404350236492022,Not Significant
ACTB,1.3949553114335878,4.7247795813283e-07,1.4704179642354433e-06,5.832559200108761,Up,-0.4775905614201954,0.0001131605347292,0.0001892189567866,3.723035356224864,Not Significant
ACTBL2,1.0790582507548043,0.268614475149379,0.3015394956156493,0.5206557959465314,Not Significant,-0.6986934133983672,2.4648625396892817e-05,4.52819523043165e-05,4.344074857069043,Not Significant
ACTG1,1.327916609600397,6.156802570847227e-07,1.8648114581694216e-06,5.729365070995167,Up,-0.0153735065833281,0.9316415559178266,0.938766404215746,0.0274424609618016,Not Significant
ACTL6A,2.530368463989612,4.790512052280293e-10,2.7545444300611687e-09,8.55995021818092,Up,1.7581764661293708,2.5512617537478044e-11,1.0182547390629176e-10,9.992143559985804,Up
ACTL6B,-4.698817599659494,1.982991367033669e-27,7.712994220655282e-26,25.112776994054105,Down,-2.385382512553168,6.5016719996208855e-15,3.9006284636342256e-14,13.40886541443516,Down
ACTN1,0.8034338944680464,1.944749572468762e-07,6.55450223922727e-07,6.183460283831265,Not Significant,-0.2134266224893712,0.0159946282265312,0.0205693211279915,1.686780041568886,Not Significant
ACTN2,-0.3721875311314591,0.0069344254905031,0.0098376851698815,2.007107080045746,Not Significant,-2.494536887961486,2.2807445986854318e-20,2.3389429091346463e-19,18.63098037868268,Down
ACTN3,-0.2598524836710609,0.5070563766237013,0.5419719828230415,0.2660231636827389,Not Significant,-0.0227640832242641,0.7659715372270604,0.7855944162968245,0.1048016120083974,Not Significant
ACTN4,0.8614268283231503,8.356520898944964e-07,2.451473253813965e-06,5.610572840653321,Not Significant,0.1729327265779971,0.0062087494239173,0.0083616085850117,2.077710166054699,Not Significant
ACTR10,-0.6381436085011565,0.0061988212496454,0.0088539522570435,2.0528628241866747,Not Significant,-1.2401189377937556,4.944949348616097e-23,6.556939843279613e-22,21.18329880075495,Down
ACTR1A,-0.9303248248300876,3.7312209589320564e-07,1.1867663546625963e-06,5.92563477461632,Not Significant,-1.2027461017445642,3.515631287756701e-16,2.45105198086132e-15,14.61064747831877,Down
ACTR1B,-0.8461027641757042,2.316923383681249e-06,6.18120965052295e-06,5.208926526021322,Not Significant,-1.2580058018584648,2.437560897458812e-11,9.754929404709255e-11,10.0107758691968,Down
ACTR2,-0.5368242482201744,0.0049465367070782,0.0071699871636123,2.144481621846468,Not Significant,-0.2131264550576016,0.000313499570234,0.0004961558501697,3.304381883515477,Not Significant
ACTR3,0.9748456069444592,1.6710373377687773e-06,4.590681794568493e-06,5.338122809532482,Not Significant,0.2775420149765081,1.3361150902223482e-06,2.893803989622227e-06,5.538530888942064,Not Significant
ACTR3B,-0.9870071174266482,1.5255072649788334e-05,3.415102263865948e-05,4.466596287013865,Not Significant,-3.054177964215572,1.5764671407441846e-29,3.7984829787051422e-28,27.42038981536237,Down
ACTR5,0.1928211079149093,0.0886814925106165,0.1070425779477534,0.9704434401685342,Not Significant,0.0765924219235207,0.540681100452826,0.57043883788906,0.2437909135441582,Not Significant
ACTR6,-0.749291218257877,0.0007084597583869,0.0011704205524333,2.9316580606609075,Not Significant,0.4889047903956896,8.947760272156584e-07,1.9909627334946104e-06,5.7009368689475375,Not Significant
ACTR8,0.2764470340818512,0.0091833977210373,0.0127993288104219,1.892812803912507,Not Significant,0.5333815997741679,3.569141593467365e-06,7.326206832262238e-06,5.135120824568255,Not Significant
ACVR1,0.5773600458080139,9.218927995989108e-05,0.0001785646618565,3.7482044843008246,Not Significant,-0.5504450973483547,3.3144230480072707e-06,6.830296873234544e-06,5.165560419655859,Not Significant
ACVR1B,-1.1953884123258618,1.777185442663319e-09,9.223784724054754e-09,8.035090841689737,Down,-1.6455674926613046,2.7547021740031456e-07,6.556984891195688e-07,6.183295817046906,Down
ACVR2A,-0.9882617793359252,2.1770865696743723e-08,8.948172216605315e-08,7.048265666059355,Not Significant,-1.5810927082953063,7.045229263300282e-22,8.342865916005988e-21,20.078684736208416,Down
ACY3,-0.2779027355193335,0.6312123702668632,0.6624474859952474,0.17884854372539,Not Significant,-1.2061855553710163,1.018631453982262e-06,2.2459086643722443e-06,5.648607909412805,Down
ACYP1,-0.5611696488260058,0.0005548820658892,0.0009345172738685,3.029412666595002,Not Significant,-1.5076801172381886,2.758856053131488e-18,2.349994489119939e-17,16.628933156174053,Down
ACYP2,-0.4536601177749482,3.0455449605264898e-06,7.8891282932229e-06,5.102970981373312,Not Significant,-1.320459861000119,8.032505974053597e-12,3.414061032418289e-11,10.46672871936494,Down
ADA,1.5024577783279316,0.0023794870891971,0.0036155283463909,2.4418282291700906,Up,-0.0330140045268334,0.7595621992807536,0.7797892230312028,0.1080227712132066,Not Significant
